epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3525.96,1.14084,0.82616,1.19142,0.97504,0.94845,0.9813,0.71735,0.95028,0.48258,1.13829,0.0015941,0.0015941,0.0015941
43,3608.38,1.14897,0.83207,1.20036,0.97294,0.96907,0.9815,0.74778,0.89778,0.4414,1.07305,0.0015842,0.0015842,0.0015842
44,3690.87,1.13321,0.81926,1.1908,0.95333,0.91237,0.96455,0.70971,0.9751,0.50737,1.14833,0.0015743,0.0015743,0.0015743
45,3773.24,1.12853,0.82258,1.18843,0.9686,0.96392,0.97491,0.7569,0.88127,0.42469,1.06211,0.0015644,0.0015644,0.0015644
46,3856.15,1.13567,0.80209,1.18794,0.97146,0.96392,0.97359,0.72762,0.92441,0.4952,1.11014,0.0015545,0.0015545,0.0015545
47,3959.32,1.12691,0.79131,1.18111,0.97705,0.94845,0.97293,0.75411,0.86391,0.46396,1.06012,0.0015446,0.0015446,0.0015446
48,4089.02,1.12559,0.80544,1.18496,0.97663,0.94845,0.97573,0.74171,0.89565,0.44564,1.08458,0.0015347,0.0015347,0.0015347
49,4195.8,1.11368,0.78625,1.17692,0.98256,0.95876,0.97334,0.71807,0.94505,0.49299,1.12123,0.0015248,0.0015248,0.0015248
50,4295.26,1.13041,0.80643,1.18718,0.99717,0.94845,0.97485,0.74778,0.87453,0.42656,1.05657,0.0015149,0.0015149,0.0015149
51,4401.24,1.11952,0.79017,1.17995,0.96799,0.93538,0.97902,0.73847,0.92156,0.44231,1.11417,0.001505,0.001505,0.001505
52,4509.32,1.10687,0.78531,1.17818,0.90132,0.94165,0.96669,0.71771,0.95065,0.49367,1.12444,0.0014951,0.0014951,0.0014951
53,4600.98,1.10738,0.78726,1.17531,0.98032,0.94845,0.97626,0.75676,0.86505,0.44671,1.06677,0.0014852,0.0014852,0.0014852
