epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,16733.9,0.90257,0.59476,1.08139,0.98843,0.96907,0.98435,0.79342,0.76703,0.32165,1.0471,0.0002081,0.0002081,0.0002081
183,16806.1,0.91518,0.59967,1.08198,0.98943,0.96469,0.98542,0.79618,0.77282,0.32513,1.05016,0.0001982,0.0001982,0.0001982
184,16882.5,0.90382,0.59495,1.0803,0.99468,0.96386,0.98546,0.79479,0.77588,0.32978,1.05238,0.0001883,0.0001883,0.0001883
185,16956.6,0.89405,0.58943,1.07427,0.9947,0.96756,0.98647,0.7975,0.77209,0.32436,1.04978,0.0001784,0.0001784,0.0001784
186,17031.4,0.89846,0.59702,1.0799,0.9947,0.96821,0.98629,0.79614,0.77683,0.32598,1.05503,0.0001685,0.0001685,0.0001685
187,17107.1,0.90348,0.59858,1.07648,0.98942,0.96434,0.9867,0.79736,0.77839,0.32226,1.05517,0.0001586,0.0001586,0.0001586
188,17183.3,0.89817,0.59751,1.07449,0.9834,0.97423,0.98658,0.79579,0.77444,0.322,1.05175,0.0001487,0.0001487,0.0001487
189,17256.6,0.90228,0.60326,1.08226,0.97437,0.97938,0.98642,0.79122,0.78029,0.32467,1.05734,0.0001388,0.0001388,0.0001388
190,17334.4,0.91067,0.60099,1.08278,0.97888,0.97423,0.9864,0.78987,0.78012,0.32631,1.05535,0.0001289,0.0001289,0.0001289
191,17403.6,0.72555,0.45196,1.00565,0.99476,0.9791,0.9836,0.78826,0.77444,0.33275,1.04285,0.000119,0.000119,0.000119
192,17476.9,0.71495,0.41531,0.9996,0.99476,0.97867,0.98284,0.7897,0.77561,0.3486,1.0439,0.0001091,0.0001091,0.0001091
193,17544.9,0.70102,0.40769,0.98946,0.99252,0.97423,0.98308,0.78808,0.77153,0.34633,1.04061,9.92e-05,9.92e-05,9.92e-05
194,17619.8,0.69965,0.40185,0.9905,0.99326,0.97423,0.98333,0.79199,0.77312,0.3434,1.04077,8.93e-05,8.93e-05,8.93e-05
195,17688.6,0.68798,0.39237,0.98749,0.98954,0.97568,0.9832,0.79321,0.76673,0.3392,1.03453,7.94e-05,7.94e-05,7.94e-05
196,17756.5,0.69102,0.39566,0.98734,0.98711,0.97938,0.98277,0.79184,0.76412,0.34149,1.03384,6.95e-05,6.95e-05,6.95e-05
197,17830.5,0.68903,0.39543,0.99109,0.98824,0.97938,0.98342,0.79449,0.76299,0.33614,1.03375,5.96e-05,5.96e-05,5.96e-05
198,17897.9,0.6911,0.39147,0.9897,0.9886,0.97938,0.98365,0.79555,0.76607,0.33587,1.03658,4.97e-05,4.97e-05,4.97e-05
199,17970.7,0.68111,0.38998,0.98685,0.98767,0.96907,0.98341,0.79519,0.76959,0.33527,1.03879,3.98e-05,3.98e-05,3.98e-05
200,18044.3,0.67978,0.38683,0.98396,0.98855,0.96907,0.98355,0.79707,0.77106,0.33629,1.03978,2.99e-05,2.99e-05,2.99e-05
